entity_type,entity_id,classification,quarantine_status,mapping_status,organization_candidate_count,human_decision,allowed_human_decisions,target_organization_id,evidence_reference,active_inactive_disposition,decision_reason,reviewer_1,reviewer_2,reviewed_at,decision_status,decision_version,predecessor_decision_id,decision_id
ReferralAssignmentLog,11,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,12,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,13,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,14,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,15,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,16,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,17,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,18,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAssignmentLog,19,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ReferralAutoAssignState,1,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ShipmentRequest,82,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ShipmentRequest,83,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ShipmentRequest,84,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ShipmentRequest,85,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ShipmentRequest,86,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ShipmentRequest,87,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ShipmentRequest,88,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ShipmentRequest,89,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ShipmentRequest,90,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
ShipmentRequest,91,UNRESOLVED,QUARANTINED,NONE,0,,ASSIGN_TO_ORGANIZATION|KEEP_QUARANTINED|RETIRE_INACTIVE_LEGACY_ROW|REDESIGN_REQUIRED|NEEDS_MORE_EVIDENCE,,,,,,,,PENDING,,,
