cohort_id,cohort_type,member_count,structural_class,structural_root,human_decision,target_organization_id,evidence_reference,reviewer_1,reviewer_2,reviewed_at,decision_status,decision_version,predecessor_decision_id,decision_id
single:ShipmentRequest:93,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequest:94,SINGLE_MEMBER_FAIL_CLOSED,1,ROOT_DECISION,,,,,,,,PENDING,,,
single:ShipmentRequestLog:57,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:58,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:59,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:60,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:61,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:62,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:63,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:64,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:65,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:66,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:67,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:68,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentRequestLog:69,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTracking:1,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTracking:2,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTracking:3,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTracking:4,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTracking:5,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTracking:6,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnit:1,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnit:2,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnit:3,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnit:4,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnit:5,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnit:6,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:1,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:2,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:3,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:4,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:5,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:6,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:7,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:8,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:9,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:10,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
single:ShipmentTransportUnitUpdate:11,SINGLE_MEMBER_FAIL_CLOSED,1,DERIVED_DESCENDANT,,,,,,,,PENDING,,,
